time,lat,long,mag,nst,net,id
64650,38.812831878662,-122.8073348999,1.15,26,nc,nc75195776
64640,34.1675,-116.4225,0.99,29,ci,ci40994471
64630,36.53783416748,-121.15116882324,1.49,12,nc,nc75195756
64620,40.1525,-119.1422,1.4,8,nn,nn00898936
64610,-36.5633,-110.6681,5,52,us,us6000qkc5
64600,63.1016,-151.4681,2.3,,ak,ak0257l7257t
64590,19.866500854492,-156.73300170898,3,30,hv,hv74698277
64580,-56.9977,147.5223,4.5,31,us,us6000qkbx
64570,40.1435,-119.1437,1.4,8,nn,nn00898935
64560,52.018166666667,178.30533333333,1.06,5,av,av93638176
64550,-19.9202,-173.6181,5.1,129,us,us6000qkbr
64540,46.163833333333,-122.52716666667,1.04,19,uw,uw62128441
64530,52.016666666667,178.286,1.93,8,av,av93638101
64520,60.3125,-150.9621,1.3,,ak,ak0257l5h4qf
64510,38.786666870117,-122.76300048828,1.25,15,nc,nc75195686
64500,38.821334838867,-122.76333618164,1.47,28,nc,nc75195681
64490,38.815166473389,-122.81883239746,1.07,21,nc,nc75195676
64480,33.1453333,-115.9821667,1.74,61,ci,ci40994255
64470,35.3196667,-117.8005,1.17,33,ci,ci40994247
64460,38.8125,-122.80783081055,1.08,22,nc,nc75195671
64450,65.5856,-145.6824,1.1,,ak,ak0257l4xum5
64440,56.7092,-148.1205,3,49,us,us6000qkch
64430,36.829666666667,-121.29533333333,0.97,23,nc,nc75195661
64420,32.351,-102.196,1.4,31,tx,tx2025lqfudf
64410,65.744,-145.6983,1.6,,ak,ak0257l4oocz
64400,33.2316667,-116.7461667,1.81,82,ci,ci40994199
64390,65.7449,-145.6939,1.4,,ak,ak0257l4cfi4
64380,33.6981667,-117.212,1.26,18,ci,ci40994175
64370,38.811668395996,-122.80833435059,1.29,21,nc,nc75195646
64360,34.0461667,-117.2625,1.67,91,ci,ci40994167
64350,65.7762,-145.7213,4.7,,ak,ak0257l477bi
64340,60.9932,-150.794,2.3,,ak,ak0257l4304z
64330,18.285,-68.6663,4.06,18,pr,pr2025165001
64320,36.823001861572,-121.30366516113,1.87,33,nc,nc75195631
64310,24.8792,63.1398,4.6,42,us,us6000qkan
64300,59.8171,-153.0282,1.7,,ak,ak0257l3ja3t
64290,36.722333333333,-121.4175,1.81,55,nc,nc75195626
64280,2.3994,-84.3644,4.3,22,us,us6000qkam
64270,35.8621667,-117.6645,1.17,27,ci,ci40994087
64260,31.888,-101.463,1.6,31,tx,tx2025lqawaq
64250,32.038,-101.85,1.8,15,tx,tx2025lqaqoa
64240,30.852,-103.08,2.4,8,tx,tx2025lqaqdr
64230,31.674,-104.192,2.6,45,tx,tx2025lqaomz
64220,31.66,-104.196,2.4,6,tx,tx2025lqaphe
64210,34.0463333,-117.2628333,1.66,93,ci,ci40994047
64200,31.954,-103.392,2.2,16,tx,tx2025lpzyir
64190,32.093,-101.5,1.3,26,tx,tx2025lpzcyx
64180,31.856,-101.473,1.5,10,tx,tx2025lpyyqw
64170,37.0581,-115.8178,1.4,8,nn,nn00898934
64160,37.053,-115.8019,1.4,27,nn,nn00898924
64150,38.4833,-118.1323,1.4,9,nn,nn00898922
64140,60.9768,-147.6722,2.7,,ak,ak0257l2hbbp
64130,2.233,66.8527,5.4,70,us,us6000qka3
64120,38.81233215332,-122.80766296387,1.08,17,nc,nc75195601
64110,38.80916595459,-122.8065032959,1.09,17,nc,nc75195596
64100,35.96012115,-97.76995087,1.84,10,ok,ok2025long
64090,38.813167572021,-122.80683135986,0.95,19,nc,nc75195591
64080,38.811000823975,-122.80666351318,2.26,59,nc,nc75195581
64070,38.8125,-122.80683135986,1.23,20,nc,nc75195566
64060,31.816,-103.307,2,19,tx,tx2025lpxlcl
64050,38.812831878662,-122.80616760254,1.54,22,nc,nc75195546
64040,38.81233215332,-122.80583190918,2.42,71,nc,nc75195541
64030,32.143,-101.639,1.4,19,tx,tx2025lpxbpu
64020,31.953,-103.378,2.5,25,tx,tx2025lpxamn
64010,38.835498809815,-122.80716705322,1.1,25,nc,nc75195536
64000,38.5632,141.9477,5,76,us,us6000qk9r
63990,44.6487,150.5247,4.6,32,us,us6000qk9p
63980,38.805000305176,-122.77683258057,1.08,25,nc,nc75195531
63970,38.839168548584,-122.79949951172,1.02,15,nc,nc75195526
63960,38.757667541504,-122.71783447266,1.35,11,nc,nc75195521
63950,38.821998596191,-122.84583282471,1.03,18,nc,nc75195516
63940,-35.7217,-18.7134,5,40,us,us6000qk9m
63930,32.4948333,-115.4008333,1.54,22,ci,ci40993975
63920,38.827499389648,-122.80516815185,1.02,13,nc,nc75195496
63910,31.966,-103.377,2,15,tx,tx2025lpuact
63900,31.956,-103.37,1.9,12,tx,tx2025lpuahd
63890,19.2017,121.17,4.8,71,us,us6000qk9j
63880,31.658,-104.339,1.5,31,tx,tx2025lptsxg
63870,31.953,-103.37,2.4,38,tx,tx2025lptjzp
63860,32.5341667,-115.2366667,1.72,22,ci,ci40993943
63850,28.615,-99.125,2.7,19,tx,tx2025lpsmkm
63840,62.8272,-149.7471,1.2,,ak,ak0257l0p10w
63830,34.3646667,-119.1678333,1.62,45,ci,ci40993927
63820,38.787666320801,-122.77033233643,1.1,16,nc,nc75195481
63810,60.6696,-152.2861,1.3,,ak,ak0257l0kx13
63800,52.0225,178.31416666667,1.89,8,av,av93637721
63790,-36.5778,-110.627,4.9,76,us,us6000qk9a
63780,44.324333333333,-114.99383333333,1.14,5,mb,mb90095973
63770,60.0614,-151.3584,1.8,,ak,ak0257l04wxt
63760,38.765335083008,-122.73149871826,1.6,26,nc,nc75195471
63750,31.673,-104.184,1.6,27,tx,tx2025lpqjnq
63740,59.9065,-153.0944,2.5,,ak,ak0257kzzq1z
63730,32.869,-100.949,2.2,31,tx,tx2025lpptzt
63720,32.866,-100.947,2.1,21,tx,tx2025lppufh
63710,31.672,-104.188,2.1,42,tx,tx2025lpposa
63700,31.677,-104.201,1.7,32,tx,tx2025lppdsl
63690,35.945,-91.294166666667,1.83,7,nm,nm60503683
63680,32.5313333,-115.2431667,1.8,27,ci,ci40993911
63670,32.222,-115.2875,2.51,26,ci,ci40993903
63660,63.8835,-149.0155,1.4,,ak,ak0257kzjleh
63650,38.83466720581,-122.81683349609,1.58,27,nc,nc75195461
63640,60.3603,-142.4495,1,,ak,ak0257kzj7p2
63630,-36.5676,-110.604,5.6,45,us,us6000qk90
63620,34.914,-119.3605,1.1,20,ci,ci40993895
63610,38.823665618896,-122.81233215332,1.53,31,nc,nc75195456
63600,31.666,-104.195,1.8,38,tx,tx2025lpoans
63590,60.6259,-141.2139,1.6,,ak,ak0257kzex3e
63580,19.4382,-69.1087,4.3,78,us,us6000qk8s
63570,31.666,-104.201,2,35,tx,tx2025lpnqas
63560,31.672,-104.181,1.7,21,tx,tx2025lpnlkc
63550,31.665,-104.186,1.6,23,tx,tx2025lpnkit
63540,32.089,-103.74,2.5,14,tx,tx2025lpnjxn
63530,31.674,-104.192,2,39,tx,tx2025lpnhcp
63520,45.815833333333,-113.5285,1.48,22,mb,mb90095963
63510,31.669,-104.187,2,40,tx,tx2025lpnaqw
63500,35.07,-119.1333333,1.38,31,ci,ci40993879
63490,31.667,-104.19,2.6,44,tx,tx2025lpmzde
63480,31.658,-104.192,1.6,26,tx,tx2025lpmsmr
63470,38.820667266846,-122.81300354004,1.09,23,nc,nc75195441
63460,38.816165924072,-122.76233673096,1.03,12,nc,nc75195436
63450,31.666,-104.199,1.7,40,tx,tx2025lpmnzm
63440,31.668,-104.193,1.4,28,tx,tx2025lpmdlp
63430,31.666,-104.184,1.8,28,tx,tx2025lpmalf
63420,31.678,-104.195,1.8,34,tx,tx2025lpmazg
63410,35.9555,-91.307,2.22,17,nm,nm60503678
63400,62.5407,-151.2452,1.9,,ak,ak0257kyrlfi
63390,31.669,-104.194,1.5,30,tx,tx2025lplned
63380,31.667,-104.193,1.6,16,tx,tx2025lplmuf
63370,19.272166666667,-66.018,3.24,11,pr,pr71485748
63360,31.669,-104.191,1.7,33,tx,tx2025lplbmb
63350,-47.8628,116.0457,4.8,20,us,us6000qk86
63340,31.672,-104.201,2.4,42,tx,tx2025lpkrmp
63330,31.67,-104.195,2.3,38,tx,tx2025lpkpzl
63320,31.666,-104.196,1.7,25,tx,tx2025lpkqjw
63310,38.817501068115,-122.80950164795,1.05,20,nc,nc75195411
63300,31.676,-104.18,1.7,36,tx,tx2025lpkmky
63290,31.668,-104.172,1.7,17,tx,tx2025lpkljr
63280,31.673,-104.191,3.5,40,tx,tx2025lpkjpj
63270,31.675,-104.192,3.5,43,tx,tx2025lpkgmj
63260,31.673,-104.194,3.3,40,tx,tx2025lpjvig
63250,30.6291,141.5771,4.6,44,us,us6000qk7w
63240,36.1093333,-117.8885,1.13,20,ci,ci40993799
63230,38.830333709717,-122.81549835205,1.07,20,nc,nc75195401
63220,46.828833333333,-112.373,1.25,12,mb,mb90095998
63210,31.521,-104.016,1.5,33,tx,tx2025lpjkbw
63200,34.2675,-118.4586667,0.97,25,ci,ci40993791
63190,31.672,-104.201,1.9,39,tx,tx2025lpiwjo
63180,37.5393,-118.0279,1,10,nn,nn00898915
63170,38.824165344238,-122.81316375732,2.11,47,nc,nc75195386
63160,31.671,-104.191,3,25,tx,tx2025lpiqop
63150,31.642,-104.423,2.1,37,tx,tx2025lpinzj
63140,35.8668333,-117.6478333,1.15,26,ci,ci40993767
63130,-1.2671,-80.9019,4.6,42,us,us6000qk7i
63120,63.7067,-152.3312,1.6,,ak,ak0257kxk055
63110,-36.4398,-110.8169,5.7,58,us,us6000qk7h
63100,62.6168,-151.3334,1.5,,ak,ak0257kxiprx
63090,33.9728333,-116.6613333,1.39,68,ci,ci40993759
63080,63.2338,-144.7697,1,,ak,ak0257kxh7ms
63070,68.7204,-147.6203,1.8,,ak,ak0257kx7w4c
63060,62.2334,-151.1555,1.4,,ak,ak0257kx2ifl
63050,68.7254,-147.6111,1.5,,ak,ak0257kx2fzr
63040,44.339666666667,-115.02883333333,1.5,13,mb,mb90095938
63030,64.4561,-149.2923,1.3,,ak,ak0257kwmdo6
63020,40.2765,-124.361,2.02,48,nc,nc75195356
63010,31.651,-104.413,1.9,31,tx,tx2025lpdraj
63000,60.6727,-149.9404,2.1,,ak,ak0257kwc3rw
62990,19.336333333333,-155.1935,1.97,47,hv,hv74697472
62980,38.82500076294,-122.76667022705,1.79,37,nc,nc75195346
62970,19.338666666667,-155.195,2.92,60,hv,hv74697462
62960,66.4194,-148.5379,1.7,,ak,ak0257kvv4mz
62950,19.3958,-63.4803,3,16,us,us6000qk6p
62940,34.9126667,-119.1406667,1.97,5,ci,ci40993655
62930,38.841,-122.94066666667,0.98,30,nc,nc75195331
62920,48.808833333333,-119.52,1.23,5,uw,uw62128131
62910,48.566166666667,-122.2,1.25,7,uw,uw62128126
62900,32.907,-116.954,1.27,41,ci,ci40993639
62890,-17.8959,168.5066,5,65,us,us6000qk6i
62880,48.580333333333,-123.53583333333,1.17,9,uw,uw62128101
62870,34.1495,-118.3625,1.48,27,ci,ci40993615
62860,36.575333333333,-89.604,2.18,33,nm,nm60608086
62850,60.009,-139.5945,1.4,,ak,ak0257jlgtl4
62840,39.1545,-123.03466666667,1.42,29,nc,nc75195311
62830,32.021,-101.727,1,17,tx,tx2025loxefz
62820,47.5815,-123.78466666667,1.27,7,uw,uw62128066
62810,38.810501098633,-122.82050323486,1.07,15,nc,nc75195281
62800,38.787998199463,-122.76766967773,1.2,20,nc,nc75195266
62790,38.818332672119,-122.82083129883,1.04,21,nc,nc75195256
62780,62.8647,-150.7355,1.9,,ak,ak0257jkatca
62770,53.851833333333,-166.47083333333,1.84,11,av,av93637211
62760,44.758,-111.11833333333,1.04,9,uu,uu80110286
62750,35.3325,-117.8141667,1.24,29,ci,ci40993487
62740,60.1166,-153.4203,4.2,,ak,ak0257jjjt29
62730,64.0677,-148.8295,3.1,,ak,ak0257jjjpjt
62720,36.997666666667,-119.80866666667,1.76,7,nc,nc75195231
62710,33.8603333,-117.5156667,1.01,37,ci,ci40993423
62700,35.7023333,-117.5981667,1.02,27,ci,ci40993415
62690,32.504,-101.589,1.1,6,tx,tx2025loqwlt
62680,37.40950012207,-121.70783233643,1.13,5,nc,nc75195226
62670,48.0895,-121.944,2,7,uw,uw62127991
62660,46.1137,153.4433,6,231,us,us6000qk4v
62650,40.572333333333,-122.41716666667,2,23,nc,nc75195206
62640,46.011666666667,-112.45516666667,1.65,11,mb,mb90095823
62630,36.850666046143,-121.58750152588,1.58,11,nc,nc75195201
62620,36.238998413086,-120.81566619873,2.3,43,nc,nc75195196
62610,60.2562,-150.5983,2.5,,ak,ak0257jij7au
62600,60.5625,-151.065,1.2,,ak,ak0257jiiyiq
62590,35.903,-117.7455,1.84,34,ci,ci40993375
62580,17.8295,-66.852166666667,2.18,5,pr,pr71485738
62570,63.6985,-149.2441,1.4,,ak,ak0257jiflv6
62560,17.896,-66.871166666667,1.72,5,pr,pr71485733
62550,17.936333333333,-66.941666666667,2.12,7,pr,pr71485723
62540,35.9028333,-117.7465,1.59,31,ci,ci40993359
62530,63.0667,-150.7564,2.9,,ak,ak0257jibn6h
62520,47.955333333333,-122.40916666667,1.75,31,uw,uw62127936
62510,35.9055,-117.7478333,0.99,23,ci,ci40993335
62500,60.2541,-140.6885,1.8,,ak,ak0257ji0a86
62490,35.9033333,-117.7443333,1.26,28,ci,ci40993311
62480,38.823501586914,-122.80850219727,1.05,19,nc,nc75195176
62470,32.128,-102.208,1.8,10,tx,tx2025lomhgn
62460,38.822498321533,-122.81150054932,1.05,22,nc,nc75195171
62450,44.7605,-111.11833333333,1.48,15,uu,uu80110276
62440,33.16,-102.235,1.7,6,tx,tx2025lollpp
62430,57.848,-156.5185,2.6,,ak,ak0257jhaf48
62420,-20.5831,-70.253,2.5,10,us,us6000qk8i
62410,63.2334,-150.7631,1.3,,ak,ak0257jh5hv5
62400,56.9472,-155.2719,1.8,,ak,ak0257jgqb0v
62390,61.9382,-148.9418,2.6,,ak,ak0257jgpgjq
62380,57.8416,-156.4864,2.2,,ak,ak0257jgp6r8
62370,39.3,-110.8175,1.26,8,uu,uu80110271
62360,38.994833333333,-111.41066666667,1.23,7,uu,uu80110266
62350,61.0318,-150.561,1.2,,ak,ak0257jgmf1d
62340,17.845166666667,-66.863666666667,2.33,13,pr,pr71485708
62330,-21.7049,-176.0328,4.7,28,us,us6000qk2x
62320,38.1584,-117.8794,1.6,14,nn,nn00898887
62310,44.3555,-115.0305,1.14,11,mb,mb90095783
62300,68.7132,-147.693,2.6,,ak,ak0257jg1upi
62290,68.7239,-147.6101,1.3,,ak,ak0257jg0snw
62280,28.641,-99.123,1.9,12,tx,tx2025lofyfq
62270,47.4864,-70.4347,1.6,10,us,us6000qk78
62260,19.166166305542,-155.48832702637,2.12,54,hv,hv74696892
62250,38.834999084473,-122.78450012207,1.5,28,nc,nc75195116
62240,18.0255,-66.896,2.23,6,pr,pr71485703
62230,37.664666666667,-119.41783333333,2.15,34,nc,nc75195111
62220,32.093,-101.481,1.4,35,tx,tx2025loeckq
62210,62.287,-150.893,2.6,,ak,ak0257jfewgl
62200,33.7906667,-116.9516667,1.46,73,ci,ci40993079
62190,54.6528,161.3854,4.1,23,us,us6000qk2i
62180,40.0369,-104.9561,2.9,21,us,us6000qk2g
62170,39.298,-110.81566666667,1.73,17,uu,uu80110256
62160,60.2897,-150.8366,1.2,,ak,ak0257jf1ebj
62150,35.6751667,-117.563,0.97,27,ci,ci40993071
62140,38.821666717529,-122.8433303833,1.09,21,nc,nc75195101
62130,19.128833770752,-155.49800109863,1.93,54,hv,hv74696837
62120,35.3255,-117.8063333,1.16,31,ci,ci40993055
62110,37.403499603271,-121.74666595459,1.44,9,nc,nc75195086
62100,-5.9799,149.5326,5,97,us,us6000qk2b
62090,31.655,-104.446,2.1,25,tx,tx2025loazgo
62080,34.0366667,-117.2428333,1.02,29,ci,ci40993039
62070,31.677,-104.399,2.1,23,tx,tx2025loawpz
62060,38.336166666667,-119.383,2.63,45,nc,nc75195076
62050,35.3195,-117.8125,1.1,25,ci,ci40993031
62040,37.489666666667,-118.83866666667,1.1,24,nc,nc75195071
62030,47.9225,-121.64116666667,1.7,22,uw,uw62127826
62020,19.443166666667,-154.8955,1.25,20,hv,hv74696767
62010,44.239,-110.76266666667,2.3,12,uu,uu80110241
62000,18.014166666667,-66.758666666667,2.35,13,pr,pr71485698
61990,35.8226667,-117.6693333,1.17,26,ci,ci40993015
61980,44.239166666667,-110.76383333333,1.31,10,uu,uu80110231
61970,17.828666666667,-66.897,2.53,6,pr,pr71485688
61960,44.211,-110.79216666667,1.16,8,uu,uu80110226
61950,17.963166666667,-66.9445,2.09,4,pr,pr71485683
61940,38.822498321533,-122.76233673096,1.23,22,nc,nc75195056
61930,31.582,-104.579,1.7,27,tx,tx2025lnxyvn
61920,17.9305,-66.9545,2.37,14,pr,pr71485668
61910,64.7238,-146.6253,1,,ak,ak0257jdi3ba
61900,-17.1195,-174.0917,4.5,32,us,us6000qk1v
61890,60.021,-152.9633,1.9,,ak,ak0257jd5f7g
61880,38.792167663574,-122.77633666992,1.11,26,nc,nc75195041
61870,31.722,-104.283,1.5,26,tx,tx2025lnwgke
61860,61.8707,-150.9163,2.1,,ak,ak0257jd2m6w
61850,39.4722,-119.4488,1,11,nn,nn00898929
61840,5.2174,125.0861,5,61,us,us6000qk1p
61830,18.812166666667,-65.857666666667,2.89,16,pr,pr71485658
61820,38.830833435059,-122.87799835205,1.84,38,nc,nc75195036
61810,40.334166666667,-124.881,4.08,185,nc,nc75195021
61800,38.445666666667,-122.481,1.3,48,nc,nc75195026
61790,31.721,-104.287,2.3,26,tx,tx2025lnurcj
61780,64.5337,-150.7763,1.1,,ak,ak0257jciwj1
61770,59.9469,-151.7924,1.4,,ak,ak0257jciiab
61760,31.722,-104.559,1.9,31,tx,tx2025lnukur
61750,31.65,-104.276,1.9,5,tx,tx2025lnukmw
61740,35.0008333,-116.9118333,1.75,26,ci,ci40992983
61730,60.6683,-142.8928,1.1,,ak,ak0257jcgeso
61720,60.1636,-150.9227,1.5,,ak,ak0257jcf3bn
61710,36.0316667,-117.7798333,1.45,21,ci,ci40992959
61700,-15.2974,-176.2438,5.1,63,us,us6000qk1c
61690,31.668,-104.295,2.2,10,tx,tx2025lnsfnc
61680,38.835834503174,-122.80666351318,1.27,18,nc,nc75195006
61670,60.3464,-150.7422,1.2,,ak,ak0257jbuo0n
61660,60.2543,-151.9856,1.2,,ak,ak0257jbtmsj
61650,35.6126,140.1869,4.5,40,us,us6000qk1a
61640,38.838832855225,-122.78033447266,1.09,17,nc,nc75195001
61630,34.1398333,-117.3355,1.12,51,ci,ci40992943
61620,35.3273333,-117.8058333,1.13,25,ci,ci40992911
61610,46.470666666667,-122.27233333333,1.15,37,uw,uw62127801
61600,31.958,-103.361,2.6,23,tx,tx2025lnpkep
61590,38.82500076294,-122.80283355713,1.07,24,nc,nc75194986
61580,36.9204,-117.8476,1.4,7,nn,nn00898876
61570,31.654,-104.298,1.7,11,tx,tx2025lnpadi
61560,19.206666946411,-155.48750305176,2.01,48,hv,hv74696532
61550,58.8416,-153.4391,1.7,,ak,ak0257japdi5
61540,-62.0808,161.5022,5.3,36,us,us6000qk0w
61530,33.9836667,-116.7255,0.97,22,ci,ci40992815
61520,59.6823,-153.1621,1.4,,ak,ak0257jalqsi
61510,38.817001342773,-122.82350158691,1.12,11,nc,nc75194976
61500,17.992666666667,-66.753833333333,2.43,7,pr,pr71485648
61490,38.789833068848,-122.79383087158,1.07,10,nc,nc75194966
61480,19.3275,-155.15966666667,1.78,51,hv,hv74696477
61470,61.0323,-152.3822,1,,ak,ak0257ja6ot6
61460,17.933333333333,-67.879833333333,3.36,16,pr,pr71485638
61450,-5.9821,146.326,4.8,72,us,us6000qk0m
61440,-6.3809,146.5669,4.2,32,us,us6000qk0j
61430,63.6056,-147.3985,1.3,,ak,ak0257j9lxwj
61420,-10.1852,161.2219,4.7,62,us,us6000qk0f
61410,35.3308333,-117.8063333,2.72,53,ci,ci40992775
61400,-11.0163,119.324,5.2,60,us,us6000qk0d
61390,60.1668,-152.7057,1.6,,ak,ak0257j9gxlx
61380,31.682,-104.4,1.8,22,tx,tx2025lnjuye
61370,38.817832946777,-122.76433563232,1.07,15,nc,nc75194941
61360,31.674,-104.4,1.8,31,tx,tx2025lnjkps
61350,31.678,-104.396,1.8,23,tx,tx2025lnjipp
61340,47.9985,-122.61483333333,1.09,16,uw,uw62127766
61330,59.5926,-151.7722,1.6,,ak,ak0257j9213f
61320,31.613,-104.524,2.3,22,tx,tx2025lnjamk
61310,31.669,-104.186,2.1,31,tx,tx2025lninty
61300,33.4446667,-116.9753333,1.32,50,ci,ci40992767
61290,27.1957,140.1996,4.5,80,us,us6000qk04
61280,38.823001861572,-122.81133270264,1.03,18,nc,nc75194936
61270,63.2331,-150.3753,2.9,,ak,ak0257j8aacg
61260,31.67,-104.323,1.9,31,tx,tx2025lnfxvh
61250,38.819332122803,-122.82366943359,0.95,11,nc,nc75194921
61240,41.881,-112.4875,1.13,13,uu,uu80110211
61230,17.951333333333,-66.941333333333,2,5,pr,pr71485633
61220,60.4444,-143.2454,1.3,,ak,ak0257hye0fm
61210,33.7878333,-116.0808333,1.11,17,ci,ci40992695
61200,18.003166666667,-66.81,2.17,7,pr,pr71485623
61190,33.9486667,-116.7371667,2.05,84,ci,ci40992687
61180,36.848333333333,-121.58683333333,1.9,61,nc,nc75194901
61170,38.83483505249,-122.80083465576,1.35,26,nc,nc75194896
61160,33.7893333,-116.0771667,0.99,22,ci,ci40992679
61150,60.4429,-143.1871,1.3,,ak,ak0257hxxqkl
61140,35.3235,-117.81,1.07,23,ci,ci40992671
61130,35.3295,-117.8108333,1.99,43,ci,ci40992663
61120,39.2177,-119.7595,1.3,11,nn,nn00898864
61110,17.963,-66.955666666667,2.25,6,pr,pr71485618
61100,62.855,-149.2108,1.9,,ak,ak0257hxrl64
61090,44.3275,-115.0505,1.29,6,mb,mb90095653
61080,33.1718333,-116.0328333,1.14,35,ci,ci40992647
61070,61.0781,-151.5988,1.5,,ak,ak0257hxr2th
61060,60.4511,-143.2243,3.3,,ak,ak0257hxg7sg
61050,19.354333333333,-155.27266666667,3.39,64,hv,hv74696217
61040,19.4405,-155.2915,1.54,16,hv,hv74696212
61030,41.883333333333,-112.48916666667,1.76,19,uu,uu80110201
61020,31.245,-103.516,1.6,15,tx,tx2025lnamqc
61010,31.244,-103.52,1.6,17,tx,tx2025lnanfl
61000,61.4377,-146.8482,1.3,,ak,ak0257hxa6qo
60990,25.1858,126.9822,4.3,30,us,us6000qjy5
60980,32.006,-103.812,1.4,13,tx,tx2025lmzgrg
60970,46.171666666667,-119.56766666667,1.37,22,uw,uw62127501
60960,32.004,-103.811,3.7,24,tx,tx2025lmzctl
60950,32.001,-103.813,2.2,57,tx,tx2025lmzcto
60940,44.3452,-115.0409,2.5,27,us,us6000qjxk
60930,60.213,-140.9356,2.1,,ak,ak0257hwssb8
60920,62.7973,-149.2164,1.3,,ak,ak0257hws6ke
60910,40.643165588379,-120.73233032227,2.19,7,nc,nc75194861
60900,33.7535,-117.1101667,0.98,28,ci,ci40992543
60890,38.840000152588,-122.82099914551,1.76,30,nc,nc75194856
60880,31.575,-104.575,1.3,21,tx,tx2025lmyjda
60870,33.1848333,-115.608,1.28,12,ci,ci40992519
60860,63.1745,-150.4256,1.5,,ak,ak0257hwnwaq
60850,63.87,-145.8198,1.1,,ak,ak0257hwkuhk
60840,61.6316,-141.8606,1.9,,ak,ak0257hwjv61
60830,31.564,-104.024,1.7,30,tx,tx2025lmxqij
60820,54.707666666667,-163.44866666667,1.68,5,av,av93044464
60810,34.49883333,-97.2165,1.07,15,ok,ok2025llms
60800,34.125,-118.7931667,1.12,4,ci,ci40992487
60790,5.0887,125.195,4.4,33,us,us6000qjww
60780,54.6516,-163.3954,2.7,16,us,us6000qjzv
60770,31.615,-104.519,2.2,30,tx,tx2025lmwbfp
60760,62.163,-152.1385,1.3,,ak,ak0257hw0oyp
60750,31.584,-104.568,1.3,22,tx,tx2025lmwacp
60740,59.6011,-152.3194,1.4,,ak,ak0257hvz0lf
60730,36.251,-95.832,1.1,28,ok,ok2025llld
60720,35.3295,-117.8075,2.82,63,ci,ci40992455
60710,5.0635,125.654,4.5,34,us,us6000qjwn
60700,33.709,-116.8196667,1.16,40,ci,ci40992423
60690,35.3228333,-117.8005,1.11,27,ci,ci40992407
60680,36.20266667,-95.82333333,1.16,30,ok,ok2025lljx
60670,29.446,-97.117,1.8,5,tx,tx2025lmtxyy
60660,39.2261,141.9608,4.1,27,us,us6000qjwg
60650,32.6925,-115.6548333,2.72,54,ci,ci40992391
60640,35.3185,-117.8036667,1.08,22,ci,ci40992383
60630,38.791332244873,-122.77966308594,1.04,10,nc,nc75194791
60620,32.4005,-115.243,2.26,26,ci,ci40992375
60610,38.493,-122.27733333333,0.97,16,nc,nc75194786
60600,45.931666666667,-111.46033333333,1.94,8,mb,mb90095608
60590,31.663,-104.294,2.9,38,tx,tx2025lmsmdc
60580,-4.8485,150.9001,4.8,77,us,us6000qjv7
60570,33.8596667,-117.4851667,1.3,30,ci,ci40992343
60560,44.321333333333,-114.99166666667,1.22,10,mb,mb90095603
60550,44.3119,-115.0065,2.6,25,us,us6000qjuk
60540,34.6296667,-117.3048333,1.25,16,ci,ci40992311
60530,63.1326,-148.5204,1.4,,ak,ak0257hucjvw
60520,36.185,-95.8445,1.06,31,ok,ok2025llfy
